date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:18	75006/75006	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2261c21392-124fe%22	http://cdn2.editmysite.com/js/wsnbn/snowday262.js	C:/My%20Web%20Sites/test/cdn2.editmysite.com/js/wsnbn/snowday262.js	(from http://zengins-stuff.weebly.com/)
17:50:29	64715/64715	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261c21391-fccb%22	http://cdn2.editmysite.com/fonts/Proxima-Light/267447_4_0.eot?321123597	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/Proxima-Light/267447_4_01833.eot	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:29	64715/64715	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261c21391-fccb%22	http://cdn2.editmysite.com/fonts/Proxima-Light/267447_4_0.eot?123597	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/Proxima-Light/267447_4_075a8.eot	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:33	83404/83404	---M--	200	added ('OK')	application/font-woff	etag:%2261c21391-145cc%22	http://cdn2.editmysite.com/fonts/Proxima-Light/267447_4_0.woff?123597	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/Proxima-Light/267447_4_075a8.woff	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:34	209560/209560	---M-Z	200	added ('OK')	font/ttf	etag:%2261c21391-33298%22	http://cdn2.editmysite.com/fonts/Proxima-Light/267447_4_0.ttf?123597	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/Proxima-Light/267447_4_075a8.ttf	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:38	60074/60074	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261c21391-eaaa%22	http://cdn2.editmysite.com/fonts/Proxima-Semibold/267447_5_0.eot?123597	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/Proxima-Semibold/267447_5_075a8.eot	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:39	3316/3316	---M--	200	added ('OK')	image/png	etag:%22b990be86efb765402df96de07ff676ed%22	http://cdn2.editmysite.com/images/util/videojs/white-bar.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/util/videojs/white-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:39	60074/60074	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261c21391-eaaa%22	http://cdn2.editmysite.com/fonts/Proxima-Semibold/267447_5_0.eot?	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/Proxima-Semibold/267447_5_0d41d.eot	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:39	934/934	---M--	200	added ('OK')	image/png	etag:%22b7bb9f86cd372171ddb601013f7b7ecc%22	http://cdn2.editmysite.com/images/util/videojs/@2x/white-bar.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/util/videojs/@2x/white-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:40	1062/1062	---M--	200	added ('OK')	image/png	etag:%22e3a4510b856d2e6af899829f916aed5c%22	http://cdn2.editmysite.com/images/util/videojs/gradient.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/util/videojs/gradient.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:40	1066/1066	---M--	200	added ('OK')	image/png	etag:%225f79d3a4fcbd47a8915f4b76d8d391f2%22	http://cdn2.editmysite.com/images/util/videojs/@2x/gradient.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/util/videojs/@2x/gradient.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:42	10847/10847	---M--	200	added ('OK')	image/png	etag:%2261c21391-2a5f%22	http://cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:42	1147/1147	---M--	200	added ('OK')	image/png	etag:%22238628d5193eed29afba56881c2062b6%22	http://cdn2.editmysite.com/images/util/videojs/volume-filled.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/util/videojs/volume-filled.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:43	1333/1333	---M--	200	added ('OK')	image/png	etag:%2294ad4962ec7aae96fd39acf13b05c5ff%22	http://cdn2.editmysite.com/images/util/videojs/@2x/volume-filled.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/util/videojs/@2x/volume-filled.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:44	1179/1179	---M--	200	added ('OK')	image/png	etag:%225baf4223095c9cbd9975106f31b0885f%22	http://cdn2.editmysite.com/images/util/videojs/volume-mute.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/util/videojs/volume-mute.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:44	1303/1303	---M--	200	added ('OK')	image/png	etag:%2202ddb113f1cb06b58d6b9bbfcc0f9da1%22	http://cdn2.editmysite.com/images/util/videojs/@2x/volume-mute.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/util/videojs/@2x/volume-mute.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:44	25072/25072	---M--	200	added ('OK')	image/png	etag:%2261c21391-61f0%22	http://cdn2.editmysite.com/sprites/util/videojs/@2x-s2aff7e7d9a.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/sprites/util/videojs/@2x-s2aff7e7d9a.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
17:50:44	71730/71730	---M--	200	added ('OK')	application/font-woff	etag:%2261c21391-11832%22	http://cdn2.editmysite.com/fonts/Proxima-Semibold/267447_5_0.woff?123597	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/Proxima-Semibold/267447_5_075a8.woff	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1482368310)
